,Ad Group,Keyword,Campaign,Criterion Type
0,sofas,sofas price,SEM_Sofas,Exact
1,sofas,price sofas,SEM_Sofas,Exact
2,sofas,sofas affordable,SEM_Sofas,Exact
3,sofas,affordable sofas,SEM_Sofas,Exact
4,sofas,sofas budget,SEM_Sofas,Exact
5,sofas,budget sofas,SEM_Sofas,Exact
6,sofas,sofas good-value,SEM_Sofas,Exact
7,sofas,good-value sofas,SEM_Sofas,Exact
8,sofas,sofas economical,SEM_Sofas,Exact
9,sofas,economical sofas,SEM_Sofas,Exact
10,sofas,sofas bargain,SEM_Sofas,Exact
11,sofas,bargain sofas,SEM_Sofas,Exact
12,convertible sofas,convertible sofas price,SEM_Sofas,Exact
13,convertible sofas,price convertible sofas,SEM_Sofas,Exact
14,convertible sofas,convertible sofas affordable,SEM_Sofas,Exact
15,convertible sofas,affordable convertible sofas,SEM_Sofas,Exact
16,convertible sofas,convertible sofas budget,SEM_Sofas,Exact
17,convertible sofas,budget convertible sofas,SEM_Sofas,Exact
18,convertible sofas,convertible sofas good-value,SEM_Sofas,Exact
19,convertible sofas,good-value convertible sofas,SEM_Sofas,Exact
20,convertible sofas,convertible sofas economical,SEM_Sofas,Exact
21,convertible sofas,economical convertible sofas,SEM_Sofas,Exact
22,convertible sofas,convertible sofas bargain,SEM_Sofas,Exact
23,convertible sofas,bargain convertible sofas,SEM_Sofas,Exact
24,love seats,love seats price,SEM_Sofas,Exact
25,love seats,price love seats,SEM_Sofas,Exact
26,love seats,love seats affordable,SEM_Sofas,Exact
27,love seats,affordable love seats,SEM_Sofas,Exact
28,love seats,love seats budget,SEM_Sofas,Exact
29,love seats,budget love seats,SEM_Sofas,Exact
30,love seats,love seats good-value,SEM_Sofas,Exact
31,love seats,good-value love seats,SEM_Sofas,Exact
32,love seats,love seats economical,SEM_Sofas,Exact
33,love seats,economical love seats,SEM_Sofas,Exact
34,love seats,love seats bargain,SEM_Sofas,Exact
35,love seats,bargain love seats,SEM_Sofas,Exact
36,recliners,recliners price,SEM_Sofas,Exact
37,recliners,price recliners,SEM_Sofas,Exact
38,recliners,recliners affordable,SEM_Sofas,Exact
39,recliners,affordable recliners,SEM_Sofas,Exact
40,recliners,recliners budget,SEM_Sofas,Exact
41,recliners,budget recliners,SEM_Sofas,Exact
42,recliners,recliners good-value,SEM_Sofas,Exact
43,recliners,good-value recliners,SEM_Sofas,Exact
44,recliners,recliners economical,SEM_Sofas,Exact
45,recliners,economical recliners,SEM_Sofas,Exact
46,recliners,recliners bargain,SEM_Sofas,Exact
47,recliners,bargain recliners,SEM_Sofas,Exact
48,sofa beds,sofa beds price,SEM_Sofas,Exact
49,sofa beds,price sofa beds,SEM_Sofas,Exact
50,sofa beds,sofa beds affordable,SEM_Sofas,Exact
51,sofa beds,affordable sofa beds,SEM_Sofas,Exact
52,sofa beds,sofa beds budget,SEM_Sofas,Exact
53,sofa beds,budget sofa beds,SEM_Sofas,Exact
54,sofa beds,sofa beds good-value,SEM_Sofas,Exact
55,sofa beds,good-value sofa beds,SEM_Sofas,Exact
56,sofa beds,sofa beds economical,SEM_Sofas,Exact
57,sofa beds,economical sofa beds,SEM_Sofas,Exact
58,sofa beds,sofa beds bargain,SEM_Sofas,Exact
59,sofa beds,bargain sofa beds,SEM_Sofas,Exact
